Unnamed: 0.1,Unnamed: 0,issue_url,issue_label,issue_created_at,issue_author_association,repository_url,issue_data
154261,171493,https://api.github.com/repos/jlawyerorg/j-lawyer-org/issues/996,enhancement,2020-12-03T23:25:00Z,NONE,https://api.github.com/repos/jlawyerorg/j-lawyer-org,"[FEATURE] SSH-Tunnel: Weiterleitungsport automatisieren Problem: mehrere Instanzen via SSH-Tunnel starten. Es kommt dann der Fehler, der lokale Weiterleitungsport ist schon belegt (logisch, von dem ersten Start). Man muß ihn dann jedesmal von Hand ändern. Lösung: den lokalen Weiterleitungsport beim SSH-Tunnel nicht fest vorgeben sondern j-l sucht sich selber einen freien Port im Bereich 9090 ff."
420752,467705,https://api.github.com/repos/pnp/powershell/issues/362,bug,2021-03-01T20:12:45Z,NONE,https://api.github.com/repos/pnp/powershell,"[BUG] Connect-PnPOnline: Method not found: 'System.String System.String.Format(System.IFormatProvider, System.String, System. Object)'. ### Reporting an Issue or Missing Feature Unable to connect to SharePoint Online using Connect-PnPOnline. I can run this on my personal computer but am unable to do so on a Windows 2008 Server. I need to use local certificates, but I have also testet credentials and -Interactive with the same result. Also same result whether I run in x86 or x64. ### Expected behavior Connect to a specific SP site ### Actual behavior From Get-PnPException: ``` powershell Message : Method not found: 'System.String System.String.Format(System.IFormatProvider, System.String, System. Object)'. Stacktrace : at Microsoft.Identity.Client.AuthorityInfo..ctor(AuthorityType authorityType, String authority, B oolean validateAuthority) at Microsoft.Identity.Client.AbstractApplicationBuilder`1.WithAuthority(String authorityUri, Bool ean validateAuthority) at PnP.Framework.AuthenticationManager..ctor(String clientId, String redirectUrl, String tenantId , AzureEnvironment azureEnvironment, Action`1 tokenCacheCallback, ICustomWebUi customWebUi) at PnP.Framework.AuthenticationManager.CreateWithInteractiveLogin(String clientId, Action`2 openB rowserCallback, String tenantId, String successMessageHtml, String failureMessageHtml, AzureEnvironm ent azureEnvironment, Action`1 tokenCacheCallback) at PnP.PowerShell.Commands.Base.PnPConnectionHelper.InstantiateInteractiveConnection(Uri uri, Str ing clientId, String tenantAdminUrl, Boolean launchBrowser, AzureEnvironment azureEnvironment, Cance llationTokenSource cancellationTokenSource, Boolean forceAuthentication) at PnP.PowerShell.Commands.Base.ConnectOnline.ConnectInteractive() at PnP.PowerShell.Commands.Base.ConnectOnline.Connect(CancellationToken& cancellationToken) at PnP.PowerShell.Commands.Base.ConnectOnline.ProcessRecord() at System.Management.Automation.CommandProcessor.ProcessRecord() ScriptLineNumber : 1 ``` ### Steps to reproduce behavior ` connect-pnponline -url https://organization.sharepoint.com -Interactive` or ``` powershell $conn = Connect-PnPOnline ` -Thumbprint $CertificateThumbprint ` -Tenant organization.onmicrosoft.com ` -ClientId $clientId ` -Url https://organization.sharepoint.com/sites/somesite ` -ReturnConnection ``` ### What is the version of the Cmdlet module you are running? 1.3.0 From PSVersionTable: ``` Name Value ---- ----- PSVersion 5.1.14409.1005 PSEdition Desktop PSCompatibleVersions {1.0, 2.0, 3.0, 4.0...} BuildVersion 10.0.14409.1005 CLRVersion 4.0.30319.18444 WSManStackVersion 3.0 PSRemotingProtocolVersion 2.3 SerializationVersion 1.1.0.1 ``` Upon checking assembly version (from [this comment](https://github.com/pnp/powershell/issues/196) by @erwinvanhunen ): ``` powershell PS C:\Users\isv.sdahl> [AppDomain]::CurrentDomain.GetAssemblies() | ?{$_.Location -like ""*Microsoft.SharePoint.Client.dl l""} | %{Get-Item $_.Location | select -ExpandProperty VersionInfo} ProductVersion FileVersion FileName -------------- ----------- -------- 16.1.20912.12000 16.1.20912.12000 C:\Program Files\WindowsPowerShell\Modules\PnP.PowerShell\1.3.0\Framework\Microsof... ``` .NET Version 4.5.2. ### Which operating system/environment are you running PnP PowerShell on? - [X] Windows (from Windows Server 2008 R2 Standard) - [ ] Linux - [ ] MacOS - [ ] Azure Cloud Shell - [ ] Azure Functions - [ ] Other : please specify "
270109,300387,https://api.github.com/repos/TrinhLab/CASPERapp/issues/66,enhancement,2021-03-25T18:32:04Z,COLLABORATOR,https://api.github.com/repos/TrinhLab/CASPERapp,"Multitargeting GUI Multitargeting layout is non-intuitive and clunky right now. Streamline and reorder it in a more elegant, informative way."
668046,742518,https://api.github.com/repos/hajimehoshi/ebiten/issues/1632,bug,2021-05-04T16:06:23Z,OWNER,https://api.github.com/repos/hajimehoshi/ebiten,audio: Clicking noise when playing short SEs repeatedly on Android This is a new bug from the new Oboe implementation.
503044,559130,https://api.github.com/repos/department-of-veterans-affairs/va.gov-team/issues/19361,bug,2021-02-01T22:58:25Z,CONTRIBUTOR,https://api.github.com/repos/department-of-veterans-affairs/va.gov-team,Filter CC Appointments that don't respect date ranges There's a bug in the underlying VAOS appointments service where Community Care appointments are returned outside the data range set in the params. Until it is fixed we'll exclude appointments outside the date range in the mobile middleware.
402660,447554,https://api.github.com/repos/RavenProject/Ravencoin/issues/905,bug,2021-03-24T16:48:52Z,CONTRIBUTOR,https://api.github.com/repos/RavenProject/Ravencoin,"GUI: Transactions view, width of columns and filtering. Glitch in setting the width of columns when switching views. ### Describe the issue ### Can you reliably reproduce the issue? #### If so, please list the steps to reproduce below: 1. Open Transactions 2. Select some transaction type without any transactions, I use ""Asset Sent"" 3. Switch view to Create Assets. 4. Switch back to Transactions 5. Select transaction type ""Recieved with"" or other type with transactions. 6. The transaction-view looks messed up, hiding most of the information. 7. Switch to Create Asset and back to Transactions to fix it. Screenshot: ![RVN-transactions-view-glitch](https://user-images.githubusercontent.com/26197922/112349141-c6b48800-8cc8-11eb-87e3-b45ea77aaacf.png) "
285710,317741,https://api.github.com/repos/zowe/api-layer/issues/967,enhancement,2020-12-01T07:53:54Z,COLLABORATOR,https://api.github.com/repos/zowe/api-layer,Main readme file is not updated to allow easy contribution to the project The main readme file does not contain information on which services are required to run for the default local configuration. It makes the development difficult for the people not knowing the project in detail. It completely misses information about the z/OSMF mock service which is used as the default and what are the default credentials. It would be nice if it would briefly describe the purpose of all modules in the project. 
148280,164815,https://api.github.com/repos/JPCard/Quantum-Play-Circuit-Tuner/issues/66,enhancement,2021-01-26T20:35:50Z,OWNER,https://api.github.com/repos/JPCard/Quantum-Play-Circuit-Tuner,Agregar capacidad de agregar niveles de 2 qbits que comiencen o terminen en estados entrelazados La idea es brindar la capacidad de agregar niveles con: - Sistemas de 2 qbits con estado inicial 1x4 y objetivos 1x2 - Sistemas de 2 qbits con estado inicial 1x4 y objetivo 1x4 - Sistemas de 2 qbits con estados iniciales 1x2 y objetivos 1x4 Los estados 1x4 permiten representar sistemas de 2 qbits entrelazados.
159067,176848,https://api.github.com/repos/Nathat23/StackMob-5/issues/51,enhancement,2020-02-24T06:31:08Z,CONTRIBUTOR,https://api.github.com/repos/Nathat23/StackMob-5,"FullSlice A FullSlice or something similar that allows you to unstack the whole entity e.g. spawn its amount of stack, would be nice to have. It's hard to work with mobs such as bees when trying to unstack."
51877,57722,https://api.github.com/repos/TwakeApp/Mobile/issues/256,bug,2021-02-03T08:04:56Z,MEMBER,https://api.github.com/repos/TwakeApp/Mobile,[Edit text] Can't edit message at the 1st time #Precondition: version:2.2.2 twake app device: android: oppo reno 4 #Step 1.Open twake app 2.Log in successfully 3.Send a message ex:hello99 4.Click message then click edit 5.Input some characters example: hello99hjjjj #Actual result: Display hello99 at the 1 st time #Expect result: Can edit successfully ![processed (8)](https://user-images.githubusercontent.com/54783033/106716449-09df6c80-6631-11eb-8c93-131265e67624.jpeg) ![processed (7)](https://user-images.githubusercontent.com/54783033/106716460-0c41c680-6631-11eb-8415-78feef63d9be.jpeg) 
